"region","subregion","count"
"louisiana","assumption",22826
"louisiana","avoyelles",22594
"louisiana","beauregard",13200
"louisiana","bienville",3706
"louisiana","bossier",53513
"louisiana","caddo",206447
"louisiana","calcasieu",110291
"louisiana","caldwell",5493
"louisiana","cameron",509
"louisiana","catahoula",1025
"louisiana","claiborne",11967
"louisiana","concordia",4592
"louisiana","de soto",6259
"louisiana","east baton rouge",952740
"louisiana","east carroll",2821
"louisiana","east feliciana",7239
"louisiana","evangeline",14221
"louisiana","franklin",5092
"louisiana","grant",4465
"louisiana","iberia",45430
"louisiana","iberville",19438
"louisiana","jackson",7024
"louisiana","jefferson",415610
"louisiana","jefferson davis",10403
"louisiana","la salle",7193
"louisiana","lafayette",362916
"louisiana","lafourche",46954
"louisiana","lincoln",97103
"louisiana","livingston",60238
"louisiana","madison",10220
"louisiana","morehouse",9636
"louisiana","natchitoches",24429
"louisiana","orleans",791598
"louisiana","ouachita",174618
"louisiana","plaquemines",15467
"louisiana","pointe coupee",10853
"louisiana","rapides",108880
"louisiana","red river",2325
"louisiana","richland",3320
"louisiana","sabine",12563
"louisiana","st bernard",21804
"louisiana","st charles",28171
"louisiana","st helena",15720
"louisiana","st james",17063
"louisiana","st john the baptist",32478
"louisiana","st landry",32099
"louisiana","st martin",13590
"louisiana","st mary",24413
"louisiana","st tammany",248738
"louisiana","tangipahoa",165752
"louisiana","tensas",1904
"louisiana","terrebonne",78508
"louisiana","union",7658
"louisiana","vermilion",28113
"louisiana","vernon",57841
"louisiana","washington",17542
"louisiana","webster",15807
"louisiana","west baton rouge",15266
"louisiana","west carroll",2442
"louisiana","west feliciana",15582
"louisiana","winn",7951
"maine","androscoggin",147043
"maine","aroostook",51221
"maine","cumberland",291555
"maine","franklin",17591
"maine","hancock",25351
"maine","kennebec",192532
"maine","knox",38521
"maine","lincoln",20452
"maine","oxford",50346
"maine","penobscot",259275
"maine","piscataquis",11743
"maine","sagadahoc",81104
"maine","somerset",28896
"maine","waldo",20643
"maine","washington",22549
"maine","york",282880
"maryland","allegany",6186
