"subregion","region","pop","high","college","income","poppermile","establishments","employees","ipaddr"
"buckingham","virginia",17088,69.4,13.5,36378,29.6,250,1725,3337
"bucks","pennsylvania",627053,92.4,34.7,76019,1034.7,18758,242654,566955
"buena vista","iowa",20592,78.7,22.4,46145,35.2,557,8428,81502
"buffalo","nebraska",47463,92.4,31.5,49851,47.6,1518,21204,99719
"buffalo","south dakota",2020,78.2,9.5,28493,4.1,10,153,382
"buffalo","wisconsin",13333,88.6,16.2,46073,20.2,330,3378,9292
"bullitt","kentucky",75896,84.2,12,51857,250.2,1037,15092,46231
"bulloch","georgia",72694,85.8,26.3,33902,104.4,1360,16855,116314
"bullock","alabama",10474,72,14.4,31955,17.5,113,NA,2487
"buncombe","north carolina",244490,87.9,32.1,44321,362.9,7171,97718,315333
"bureau","illinois",34323,88.5,16.3,48046,40.2,772,9818,13760
"burke","georgia",23125,76.5,9.1,32188,28.2,304,5832,7583
"burke","north carolina",90505,75.9,15.6,37440,179.3,1436,21782,44539
"burke","north dakota",2171,90.5,16.1,54402,1.8,85,473,0
"burleigh","north dakota",85774,92.8,32.3,56231,49.8,2732,43530,168710
"burleson","texas",17291,76.3,11.3,42679,26.1,302,2621,12067
"burlington","new jersey",451336,91.4,33.9,77798,561.9,10330,173807,706042
"burnet","texas",43448,85.1,22.3,48291,43,1079,10118,32454
"burnett","wisconsin",15382,88.6,16.4,40686,18.8,408,3251,4333
"burt","nebraska",6659,90.5,18.6,45813,14,206,1230,3963
"butler","alabama",20307,74.7,12.4,31273,27,411,5354,6451
"butler","iowa",14986,88.9,14.3,50052,25.6,341,2582,7642
"butler","kansas",65827,92.2,25.2,57573,46.1,1275,12883,31084
"butler","kentucky",12840,71.7,8,32508,29.8,189,1691,3283
"butler","missouri",43053,76.6,14.2,34080,61.6,1219,14942,40320
"butler","nebraska",8295,90.5,15.5,48804,14.4,206,2087,1527
"butler","ohio",370589,87.6,26.5,55497,788.2,6875,122438,284906
"butler","pennsylvania",184970,92.2,29.3,57474,233.1,4669,79098,129127
"butte","california",221539,86.1,24,42971,134.4,4606,53193,220316
"butte","idaho",2740,90.9,18.7,37821,1.3,66,638,1019
"butte","south dakota",10228,86.5,16.9,41145,4.5,298,2180,3059
"butts","georgia",23524,76.3,8.1,49339,128.3,347,3772,24273
"cabarrus","north carolina",184498,85.5,24.1,54280,492.1,3828,54912,154996
"cabell","west virginia",96974,86.2,23.6,35691,342.8,2531,46099,62557
"cache","utah",115520,91.6,35.6,48338,96.7,3032,36414,259841
"caddo","louisiana",257093,85.2,21.9,39086,290.2,6297,109362,206447
"caddo","oklahoma",29678,81.9,13.6,37835,23.2,455,4460,15456
"calaveras","california",44742,92.4,20.7,55256,44.7,907,5579,35565
"calcasieu","louisiana",194493,82.8,19.1,43614,181.2,4212,68049,110291
"caldwell","kentucky",12935,83,14.2,37078,37.7,279,3674,7936
"caldwell","louisiana",10004,77.4,11.2,38606,19.1,187,1987,5493
"caldwell","missouri",9145,86.2,12.8,40522,22.1,160,767,3188
"caldwell","north carolina",81930,75.7,13.6,37845,176.1,1372,18997,41499
"caldwell","texas",38734,76.8,14.8,43136,69.8,517,5409,19995
"caledonia","vermont",31121,88.7,28.2,44433,48.1,930,9182,18368
"calhoun","alabama",117296,77.9,15.8,39467,195.7,2333,36093,366026
"calhoun","arkansas",5307,79.6,6.7,30625,8.5,76,544,4375
"calhoun","florida",14723,71.9,7.9,31142,25.8,196,1647,9579
"calhoun","georgia",6504,66,9.3,32986,23.9,75,722,2170
"calhoun","illinois",5014,85.8,13.9,48958,20,93,628,3948
"calhoun","iowa",9909,91.5,18.7,44331,17,289,2327,4717
"calhoun","michigan",135099,87.8,18.7,42287,192.8,2670,47544,164769
"calhoun","mississippi",14843,68.4,9.9,29893,25.5,262,2740,5235
"calhoun","south carolina",14910,83.1,20.3,37318,39.8,245,3073,2936
"calhoun","texas",21609,76.9,15,44433,42.2,412,7801,9717
"calhoun","west virginia",7607,71.6,7.7,26099,27.3,113,949,6246
"callahan","texas",13517,87,16.6,45933,15.1,219,1535,4526
"callaway","missouri",44305,86.7,22.2,50669,53.1,750,11326,159016
"calloway","kentucky",37655,86.1,28.6,39316,96.6,833,13255,40744
"calumet","wisconsin",49634,92.2,26.1,63395,153.9,861,11934,21787
"calvert","maryland",89628,92.1,29.2,92981,416.3,1687,17128,66004
"camas","idaho",1077,83,23.7,41184,1,25,171,764
"cambria","pennsylvania",141584,88.1,17.4,41202,208.7,3381,50282,145213
"camden","georgia",51402,89.3,20.3,51061,82.4,803,8143,104390
"camden","missouri",43845,89.8,20.6,44961,67.1,1403,11896,25835
"camden","new jersey",513539,85.9,28.2,61824,2321.5,11621,167467,683993
"camden","north carolina",10090,91.7,20.2,63998,41.5,107,570,2494
"cameron","louisiana",6702,80.1,12.4,61679,5.3,157,1437,509
"cameron","pennsylvania",4939,86.4,14,40449,12.8,117,1541,1532
"cameron","texas",415557,62.5,14.6,32156,456,6285,99119,124958
"camp","texas",12449,74.4,17,36998,63.3,207,2592,6282
"campbell","kentucky",90908,87.1,27.4,53018,597,1615,23892,42066
"campbell","south dakota",1396,83.4,16,40385,2,52,255,255
"campbell","tennessee",40420,69.8,9.1,31337,84.8,558,6794,32256
"campbell","virginia",55163,82.6,16.1,45992,108.8,1130,13668,229323
"campbell","wyoming",47874,90.9,17.5,78356,9.6,1484,23572,85197
"canadian","oklahoma",122560,91.2,25.6,62355,128.9,2284,23790,59971
"candler","georgia",11117,78.2,15.4,37315,45.3,223,2159,10860
"cannon","tennessee",13811,76.1,12.3,36742,52,154,1389,3575
"canyon","idaho",193888,82.4,16.5,42943,321.6,3437,41541,73564
"cape girardeau","missouri",76950,86.1,26.7,45795,130.8,2388,36978,112268
"cape may","new jersey",96304,88.9,27.1,55315,386.9,3801,24667,50715
"carbon","montana",10127,91.5,28.6,46194,4.9,395,2022,8992
"carbon","pennsylvania",65006,86.8,15,49056,171.1,1123,13129,123754
"carbon","utah",21246,86.3,12.8,43659,14.5,495,7051,81111
