subregion,region,pop,high,college,income,poppermile,establishments,employees
laurens,georgia,48041,80,16,37640,60,1048,14846
lee,georgia,28746,83.7,18.5,58252,79.5,371,3231
liberty,georgia,65471,90,17.3,44146,129.5,812,11917
lincoln,georgia,7737,80,10.2,36741,38,135,827
long,georgia,16048,77.5,8.9,38785,36.1,70,345
lowndes,georgia,114552,83.6,22.4,38535,220.2,2725,37162
lumpkin,georgia,30611,81.5,20,43704,105.9,481,4346
macon,georgia,14263,71.5,11.8,28726,36.8,184,2008
madison,georgia,27922,73.9,12.5,41407,99.6,359,2104
marion,georgia,8711,75.8,6.3,32610,23.9,71,1166
mcduffie,georgia,21663,71.8,12.8,36841,85,450,6240
