"subregion","region","pop","income","ufo2010","ufo2pop"
"le flore","oklahoma",49873,36815,9,0.000180458364245183
"lincoln","oklahoma",34189,41763,1,2.92491737108427e-05
"logan","oklahoma",43666,50249,1,2.29011129940915e-05
"love","oklahoma",9558,41163,1,0.000104624398409709
"major","oklahoma",7683,48012,0,0
"marshall","oklahoma",15957,39473,3,0.000188005264147396
"mayes","oklahoma",41168,42425,0,0
"mcclain","oklahoma",35613,56128,1,2.80796338415747e-05
"mccurtain","oklahoma",33203,31328,3,9.03532813300003e-05
"mcintosh","oklahoma",20584,32305,0,0
"murray","oklahoma",13663,41403,2,0.000146380736295104
"muskogee","oklahoma",70596,37990,3,4.24953255141934e-05
"noble","oklahoma",11522,43324,0,0
"nowata","oklahoma",10611,38459,0,0
"okfuskee","oklahoma",12358,34418,0,0
"oklahoma","oklahoma",741781,44413,72,9.70636886089021e-05
"okmulgee","oklahoma",39625,39324,0,0
"osage","oklahoma",47917,42847,1,2.08694200388171e-05
"ottawa","oklahoma",32236,36931,0,0
"pawnee","oklahoma",16474,41832,2,0.000121403423576545
"payne","oklahoma",78399,35716,2,2.55105294710392e-05
"pittsburg","oklahoma",45048,41317,0,0
"pontotoc","oklahoma",37958,40641,4,0.000105379630117498
"pottawatomie","oklahoma",70760,41332,4,5.65291124929339e-05
"pushmataha","oklahoma",11205,29053,0,0
"roger mills","oklahoma",3774,54352,1,0.000264970853206147
"rogers","oklahoma",88367,58434,1,1.1316441658085e-05
"seminole","oklahoma",25450,33799,1,3.92927308447937e-05
"sequoyah","oklahoma",41398,38292,4,9.66230252669211e-05
"stephens","oklahoma",44779,45030,5,0.000111659483239912
"texas","oklahoma",21498,46631,1,4.65159549725556e-05
"tillman","oklahoma",7822,31437,0,0
"tulsa","oklahoma",613816,47005,64,0.000104265773456541
"wagoner","oklahoma",75030,56819,0,0
"washington","oklahoma",51633,47144,5,9.68372939786571e-05
"washita","oklahoma",11622,44331,0,0
"woods","oklahoma",8832,47255,1,0.000113224637681159
"woodward","oklahoma",20548,51087,7,0.000340665758224645
"baker","oregon",15909,40989,0,0
"benton","oregon",86430,47716,19,0.000219831077172278
"clackamas","oregon",383857,63790,23,5.99181466014688e-05
"clatsop","oregon",37301,43670,3,8.04267982091633e-05
"columbia","oregon",49286,56270,10,0.000202897374507974
"coos","oregon",62534,37789,5,7.99565036620079e-05
